score,name,location,country
9.6,Apartment Bangkok Homestay by BK,"6/97 Bangkok Feliz Sathorn-Taksin, Soi Krung Thonburi 5, Khwaeng Khlong Tonsai, Khlongsan, 10600 Bangkok, Thailand",Bangkok
9.5,Apartment Forty Seven view by Pattiya,"1055/1263 State Tower - 47th Floor, Silom Road, Bangrak, Bang Rak, 10500 Bangkok, Thailand",Bangkok
9.5,Villa Artistic and Quirky Home with a Copper Bath and Breakfas,"60/29, Soi Prompak Yaek 1, Thonglor 25, Khlong Tan Nuea, Watthana, Wattana, 10110 Bangkok, Thailand",Bangkok
9.4,Apartment 3 Bedroom Apartment at Sukhumvi,"Citismart Condominium, Sukhumvit Soi 18, Khlong Toei, 10110 Bangkok, Thailand",Bangkok
9.3," Vacation Bangkok, The Artistic Hom","762, 764 Thanon Chroen Rat, Khlong Ton Sai, Khlong San, 10600 Bangkok, Thailand",Bangkok
9.2, COMO Metropolitan Bangkok,"27 South Sathorn Road, Tungmahamek, Sathorn, 10120 Bangkok, Thailand",Bangkok
9.1, Siam Kempinski Hotel Bangkok,"991/9 Rama I Road, Pathumwan, Pathumwan, 10330 Bangkok, Thailand",Bangkok
9, Villa Phra Sumen Bangkok,"457 Phrasumen Rd. Bawornniwet Pranakorn, 10200 Bangkok, Thailand",Bangkok
8.6, The Salil Hotel Sukhumvit 57 - Thonglor,"Sukhumvit Soi 57, Klongtan Nua, Wattana, Wattana, 10110 Bangkok, Thailand",Bangkok
8.6, Holiday Inn Express Bangkok Sathorn,"51 Soi Pipat Silom, Bangrak, Bang Rak, 10500 Bangkok, Thailand",Bangkok
