,reviews__|,reviews__|__date,reviews__|__content,reviews__|__score,reviews__|__name,Hotel No.,Score,,,,,,,,,,
K1,R45,"Reviewed: March 9, 2019","  \nBetter keep water dispenser is each floor, the water level was very slow in bathroom.\n  \nThe location is good;  can easily travel. Near by many food restaurants. The staff service was good ,  friendly receptionist staffs. Enjoyed my travel\nStayed in March 2019",7.1,Fahd,K1,6.166326531,,,,,,,,,,
K1,R44,"Reviewed: March 9, 2019","  \nWater dispenser not available at every floor, no cups provided in the room, no hairdryer( probably upon request), low water pressure (slow showering), try improving noise proofing.\n  \nGood value for money especially for vacation with friends.\nStayed in March 2019",7.5,Zul,K2,7.818181818,,,,,,,,,,
K1,R43,"Reviewed: March 9, 2019",  \nThe room was dirty with dirty walls \nBed was squeaky with thin mattress \nRoom were shown as big but actually quite small \nBathroom was small with broken glass cabinet\nShampoo and bath gel was provided but sticky and bad smelling\n  \nI didn’t like anything\nStayed in March 2019,2.9,Sudharsini,K3,8.114634146,,,,,,,,,,
K1,R20,"Reviewed: March 31, 2019","  \nThe lack of Housekeeping was a surprise, as Ive had that service in other budget hotels, but judging by the price, it wasnt too bad. \n  \nThe quick reception and great staff was a plus. \nStayed in March 2019",7.9,Ardell,K4,7.94,,,,,,,,,,
K1,R21,"Reviewed: March 30, 2019","  \nCleanliness, linen and the shower/toilet room would easily fill up with water after shower.\nToo noisy one night and unable to sleep due to the warm going on around the property.\n  \nNothing major, room not up to scratch, linen run down, didn’t look very clean or changed from previous clients. Initially had a single room, unclean and no a.c working, later staff kindly gave the double room and was slightly better.\nStayed in March 2019",2.9,Vajenti,K5,9.370526316,,,,,,,,,,
K1,R22,"Reviewed: March 26, 2019",  \nHotel is situated in a good place and next door there is free bus service.. \n  \nHotel needs to improve there is no intercom service in room and no tea and coffee arrangements...\nStayed in March 2019,7.9,Rind Balouch,K6,7.365432099,,,,,,,,,,
K1,R23,"Reviewed: March 24, 2019","  \nThe floor is dirty, aircond not functioning well, very hot in the room. Didn't supply hot water for drink, hair dryer, toothbrush and toothpaste etc. Beds are dirty and feel itchy. Too much noise from outside, cannot sleep at all. Very disappointed. Before the day i check in, i was call to confirm with this hotel about my booking. However, after several calls has being rejected, finally my last call was picked up by the staff. But, she just pick up the phone and put it on the table without answering me, i can heard from the phone clearly about the chat among the staffs. The staff said just let the phone put there so that customer won't call them again and others can't make the call in, what a lousy and bad attitude! Very angry for this kind of services!\n  \nNone at all\nStayed in March 2019",2.5,Anonymous,K7,7.052631579,,,,,,,,,,
K1,R24,"Reviewed: March 23, 2019","  \nTV not working, air-con remote not working,broken chair, and you have to tell the receptionist to give order to clean up the room\n  \nThey don't check out the room before they give to the customer and they are ignoring to fix the issues and the cleaning in the rooms\nStayed in March 2019",2.5,Ayman,K8,9.76,,,,,,,,,,
K1,R25,"Reviewed: March 22, 2019",  \nLove the central location as it is easy traveling distance to everywhere with public transport. Very good service provide by smiling staff ready to help. \nComfortable room and value for money\nGood roof top view ❤\n  \nExcellent\nStayed in March 2019,10,Mahendran,K9,7.205102041,,,,,,,,,,
K1,R26,"Reviewed: March 22, 2019","  \nAnts in the room crawling through cracks of the desk connected to wall. \nToilet paper roll was set up in a very inconvenient way. \nWalked into the room for the first time and the cleaner was in there finishing up a quick cleaning job(the desk person phoned and asked if the room was ready and I’m sure he said yes, this made the room feel unsafe.\nThe wifi stopped working after we went out to explore and came back. \nTv was set to one channel, same volume, no way to change anything.\n  \nThe reception was a nice modern look. \nThe view from the room was decent and the view from the roof was amazing. \nStaff were nice.\nStayed in March 2019",5,Anonymous,K10,7.754545455,,,,,,,,,,
K1,R27,"Reviewed: March 20, 2019",  \nthe staff were thieves. they manage to steal the room card and said we lost it and charged us 50 rungit extra. plus they stole a new sweater from our room\nStayed in March 2019,2.9,Varun,K11,7.311764706,,,,,,,,,,
K1,R28,"Reviewed: March 19, 2019","  \nThe room had a lizard and cockroach. There was a tiny leakage at top of my bed where water from the aircond piping in the ceiling was dripping on my face drip by drip at night. which led to a restless night...\n  \nThe location is okay.. At city area, close to Monorail and other public facilities. Food around the hotel area isn't recommended. easy travel to other places...\nStayed in March 2019",5.4,Khairul,K12,8.560784314,,,,,,,,,,
K1,R29,"Reviewed: March 15, 2019","  \nEverything, I don't know how it was rated as a 3 star hotel, the room is so sparse, no telephone on the room, just bed and air-conditioning unit, not even bottled water was provided.\n  \nNothing\nStayed in March 2019",3.3,Anonymous,K13,8.909090909,,,,,,,,,,
K1,R30,"Reviewed: March 14, 2019",  \nThe skyview at rooftop would be nicer if there were some tables and chairs. Also ashtray for smokers and garbage bin for guests who go there at rooftop\n  \nConvenience in getting around kl. Two different lrt stations to various parts of kl. Bus stop in front of hotel. Nice skyview of kl on rooftop upstairs.\nStayed in March 2019,7.5,Robert Danker,K14,8.442307692,,,,,,,,,,
K1,R31,"Reviewed: March 14, 2019",  \nNothing\n  \nGood stay ! \nEasy transportation near to bustop and monorail\nGot free bus to travel easily.\nRooms are comfortable and cleaned and value for the money.\nNear to malls ;markets ; restaurant.\nStayed in March 2019,10,Arun,K15,7.422413793,,,,,,,,,,
K1,R32,"Reviewed: March 13, 2019","  \nThey need to nail down windows properly.whole traffic passes by main chowkit enabling nothing but a  hedache\n  \nIf a traveller got brooke and doesn't have the right funds, then only stay there. Its a Bachelor's inn. Not great for families\nStayed in February 2019",6.3,Irfan,K16,4.033333333,,,,,,,,,,
K1,R34,"Reviewed: March 12, 2019",  \nThe stay was good ! Good location near to chow kit monorail can easily travel ; lots of shops and restaurants near to bazar !  Good staffs and pleasant welcoming reception:  the staff was very helpful which we faced the problem at our trip time ; helping staffs.\nStayed in March 2019,7.9,Anushan,K17,8.084415584,,,,,,,,,,
K1,R35,"Reviewed: March 12, 2019",  \nActually i brought my family n i gt baby..i thought there is kettle so tat i nvr brought kettle too..also in hotel nvr provide..thank god 3rd floor gt heater.bt my floor is 2.my suggestion is plase provide every room or atleast every floor..its very convenience too...otherwise the place is vry convenience to travel n shopping..hope will upgrade bit is well.\nStayed in March 2019,5.4,Jeganathan,K18,7.290909091,,,,,,,,,,
