Hotel,reviews__|,reviews__|__date,reviews__|__content,reviews__|__score,reviews__|__name,Hotel,Score
S1,R92,"Reviewed: April 1, 2019","  \nNot cheap, but sometimes it’s worth it for the experience.\n  \nAs we expected we had a first class experience. Allowed an early checking which after an overnight international flight was fab. Great location, easy to access everything by metro and close to airport. \nStayed in March 2019",10,Cate,S1,8.643877551
S1,R93,"Reviewed: April 1, 2019","  \nthe price is far to high for what was offered. room facilities and interior design are more like 3 to 4 star hotel. they give the room size 39 m2, it felt small. breakfast would be sing. dollar 50 extra! the pool was not what i expected, however the view is worth be seen. totally overcrowded like a childrens playground, nothing of a 5 star facility. you have to search for empty sun chair. could not find any nice restaurant in this hotel. all so packed and noisy, they did not let me choose a table of my taste in a bit more quiet area, which i did not like at all. so i did not eat in the hotel except room service which was nothing special. i would not choose this hotel again, as it is lacking atmosphere, service quality and style. for checkin and checkout you have to join long waiting lines.\n  \nthe view to the harbour view garden side was ok but below my expectations. it is better to book rooms with city view to see the lightshow in evening and the city skyline, this looks more interesting.\nStayed in March 2019",5.4,Christina,S2,9.141836735
S1,R91,"Reviewed: April 1, 2019","  \nBreakfast at Rise was comprehensive, but overpriced for the quality of food, still worth trying once. The entire hotel carries the feeling of a casino-centered resort, and if you're not into that vibe, it's probably not for you. That said, Singapore as a whole carries a similar sense of a place of red lines that must not be crossed, so the hotel property is not alone in the sense that one must always be aware of one's surroundings and their expectations. The hotel is far from Singapore's more pedestrian neighborhoods, so you'll be taking taxis often to experience local culture, bars, restaurants and such. The heat and humidity inspired my friend and I to reluctantly venture out, and it's clear that if you wish to experience ""Singapore"" you'll either need to stay somewhere more central or be more deliberate in your excursions. Mass transit stops underneath the hotel, so a motivated person can find relatively manageable access to the city's further regions. We did not try it in our short stay. 3 days in Singapore is enough, perhaps, to take in the salient points, but only if you venture forth from the resort. If you're looking to be pampered during a multi-day layover, though, this resort is probably the best on offer, but be prepared to pay handsomely. The mall is impressive, but impractical if you need a swimsuit, there are just two boutiques with swimwear and one of them has a tiny selection.\n  \nThe pool is as impressive as promised, though no one swims in it - its sole purpose seems to be an ""instagrammable"" experience, and that is evident by the constant churn of cameraphone wielding couples vying for space at the edge to capture the appearance of luck and good fortune. I'm guilty of the same. The staff were helpful, and I'm especially grateful to the room attendant for their attention to our comfort. The air conditioning is ample and delightful amounts of sunlight. The architecture and the atmosphere really do scream luxury and modernity, and there is no denying the impressive work done to create such a beautiful space.\nStayed in March 2019",7.5,Billie,S3,8.978571429
S1,R63,"Reviewed: April 11, 2019","  \nCheck out at 11 but not aloud in the pool area once you’ve checked out. Didn’t help me as I had a 7pm flight, poor considering the amount you pay to stay there! Food and drink are pricey but that’s expected.\n  \nThe hotel really does live up to the expectations\nStayed in April 2019",8.8,Andrew,S4,8.495918367
S1,R61,"Reviewed: April 11, 2019",  \nSwimming pool on the top floor is a little bit crowdy. And you need to pass through a lot of checkpoints which is not very comfortable.\n  \nReally unforgettable memories. Special thanks to Andrea and Cindy for our incredible suite.\nMarina Bay Sands is a must visit place in Singapore for sure.\nStayed in April 2019,10,????,S5,8.246428571
S1,R65,"Reviewed: April 11, 2019","  \nCleanings of the area from the elevator to my room. Some stuff on the flor and even the maid or other hotel staff passed by no one picked it up.\nI paid for room from 10 to 40 floor but I just got the 12th it was located just in front of corridor and the noise from the first floor with people, restaurants and line music was audible even in the late night. Luckily just when I was in the bathroom.\n  \nOverall experience was great because of the building structure, especially the swimming pool and the location. Staff at the reception was very professional. The view of Gardens by the Bay from my room was spectacular at different time of the day and the swimming pool is a once in a life must.\nStayed in April 2019",6.7,Rosanna,S6,9.389473684
S1,R64,"Reviewed: April 11, 2019","  \ncould have stayed longer\n  \nlocation is perfect , view is awesome , pool is unreal. If you came to Singapore this is a place to stay. Everything is close and hotel is great\nStayed in March 2019",10,Vlad,S7,8.219191919
S1,R58,"Reviewed: April 12, 2019",  \nStaff were absolutely fantastic they couldn't do enough to help you. the location was excellent and the train station underneath made access to the rest of town easy. Gardens in the Bay proximity is a great attraction \nBut the staff are unbelievable and an asset to the hotel \nStayed in April 2019,9.6,Graham,S8,8.483333333
S1,R59,"Reviewed: April 12, 2019",  \nWould have liked to have been told prior to booking that building work was happening on floor above and we may be affected however they may not have known it was going to happen prior if it was a last minute job.\n  \nWhen we arrived there was a bit of a queue so we were taken kindly to the VIP section and treated amazingly. We then went to our room to get some sleep as we were suffering from jet lag and realised that building work was being done above us. We could not sleep and it was very loud from 9am until 5pm on and off. We complained and Marina Bay Sands gave us 180 USD worth of credit to apologise. This was a really nice gesture.\nStayed in April 2019,9.2,Sarah,S9,8.342857143
S1,R56,"Reviewed: April 12, 2019",  \nFor such an iconic hotel the process is such a disappointment. The hotel lobby is full of people that aren’t staying and ridiculously busy that everything took so long. The pool (basically the only reason you stay in this hotel) was overcrowded and there was lots of buildong work going on.\n  \nOnce you got out of the crowded and overly touristy reception area the rooms were lovely.\nStayed in April 2019,7.5,Anonymous,S10,8.966666667
S1,R57,"Reviewed: April 12, 2019","  \nNothing other than the price.\n  \nI only stayed for one night and had no issues at all, hotel had access to a big shopping mall and many attractions and it takes nore than one day just to visit all attractions near the hotel\nStayed in April 2019",9.6,Shaima,S11,8.9625
